DOI,page,correct,wrongly recognized,undetected
10.1021/acs.jmedchem.0c00451,16,31,0,2
10.1021/acs.jmedchem.0c02274,29,120,0,0
10.1021/acs.jmedchem.1c00313,14,49,0,0
10.1021/acs.jmedchem.1c01254,12,11,3,0
10.1021/acs.jmedchem.1c01273,20,20,1,0
10.1021/acs.jmedchem.1c01878,17,11,1,0
10.1021/acs.jmedchem.1c02067,18,27,2,0
10.1021/acs.jmedchem.1c02075,18,38,0,2
10.1021/acs.jmedchem.1c02141,12,34,1,1
10.1021/acs.jmedchem.5b00678,11,51,0,0
10.1021/acs.jmedchem.5b00904,13,43,0,4
10.1021/acs.jmedchem.6b00308,14,47,2,2
10.1021/acs.jmedchem.6b01766,14,29,5,5
10.1021/acs.jmedchem.7b00032,11,30,2,0
10.1021/acs.jmedchem.7b00981,18,18,0,0
10.1021/acs.jmedchem.8b00329,17,38,2,0
10.1021/acs.orglett.0c00993,4,38,0,2
10.1021/acs.orglett.1c01387,5,18,7,3
10.1021/acs.orglett.2c00718,5,13,0,0
10.1021/acs.orglett.5b02200,4,38,10,2
10.1021/acs.orglett.6b02142,4,41,9,4
10.1021/acs.orglett.7b00418,4,38,1,3
10.1021/acs.orglett.7b00720,4,42,9,1
10.1021/acs.orglett.7b01324,4,22,7,20
10.1021/acs.orglett.7b01710,4,51,5,2
10.1021/acs.orglett.9b00698,5,42,2,3
10.1021/acscentsci.1c00444,11,18,0,0
10.1021/acscentsci.1c01108,12,18,2,1
10.1021/acscentsci.6b00391,7,28,0,3
10.1021/acscentsci.7b00028,12,37,7,3
10.1021/acscentsci.7b00368,9,92,8,5
10.1021/acsomega.0c02467,12,51,4,0
10.1021/acsomega.0c04942,9,35,0,0
10.1021/acsomega.0c05303,21,46,3,3
10.1021/acsomega.1c01314,12,113,3,8
10.1021/acsomega.1c01320,16,55,0,4
10.1021/acsomega.1c03056,14,50,1,5
10.1021/acsomega.2c01470,16,74,7,0
10.1021/acsomega.2c01814,12,36,4,8
10.1021/acsomega.6b00481,13,31,0,2
10.1021/acsomega.8b02998,14,94,0,0
10.1021/acsomega.9b00897,6,48,0,2
10.1021/acsomega.9b03223,9,23,0,0
10.1021/jm1000248,5,24,2,2
10.1021/jm100331d,13,27,4,0
10.1021/jm500409k,8,58,1,10
10.1021/jm500569h,15,26,0,0
10.1021/jm5006176,16,52,6,0
10.1021/ol5014153,4,74,1,3
10.1021/ol5020043,4,48,1,0
